athlete_id,activity_id,date,week_no,hrr_window_start_secs,hrr_window_end_secs,HRR(30)
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_27_04_32_18.csv,2019-12-27T02:32:18.000000,19,11892,11921,47
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_27_04_32_18.csv,2019-12-27T02:32:18.000000,19,15483,15512,30
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_28_06_01_00.csv,2019-12-28T04:01:00.000000,19,16350,16379,28
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_30_04_59_26.csv,2019-12-30T02:59:26.000000,20,11705,11734,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_30_04_59_26.csv,2019-12-30T02:59:26.000000,20,14017,14046,21
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_30_04_59_26.csv,2019-12-30T02:59:26.000000,20,14122,14151,41
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_01_07_02_12.csv,2020-01-01T05:02:12.000000,20,5019,5048,26
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_03_04_48_02.csv,2020-01-03T02:48:02.000000,20,2004,2033,53
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_04_05_59_26.csv,2020-01-04T03:59:26.000000,20,8090,8119,34
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_04_05_59_26.csv,2020-01-04T03:59:26.000000,20,8447,8476,8
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_04_05_59_26.csv,2020-01-04T03:59:26.000000,20,8487,8516,7
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_04_05_59_26.csv,2020-01-04T03:59:26.000000,20,10224,10253,13
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_05_06_30_24.csv,2020-01-05T04:30:24.000000,21,1355,1384,21
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_05_06_30_24.csv,2020-01-05T04:30:24.000000,21,1808,1837,26
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_05_06_30_24.csv,2020-01-05T04:30:24.000000,21,7779,7808,20
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_10_04_32_29.csv,2020-01-10T02:32:29.000000,21,5148,5177,20
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_10_04_32_29.csv,2020-01-10T02:32:29.000000,21,5384,5413,39
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_10_04_49_35.csv,2020-01-10T02:49:35.000000,21,4358,4387,40
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_14_04_48_20.csv,2020-01-14T02:48:20.000000,22,2626,2655,27
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_18_08_31_34.csv,2020-01-18T06:31:34.000000,23,1104,1133,30
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_19_06_02_45.csv,2020-01-19T04:02:45.000000,23,10757,10786,34
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_26_05_59_04.csv,2020-01-26T03:59:04.000000,24,1141,1170,29
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_26_05_59_04.csv,2020-01-26T03:59:04.000000,24,2670,2699,38
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_26_05_59_04.csv,2020-01-26T03:59:04.000000,24,5322,5351,26
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_26_05_59_04.csv,2020-01-26T03:59:04.000000,24,11810,11839,20
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_28_04_47_45.csv,2020-01-28T02:47:45.000000,24,3796,3825,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_29_04_56_15.csv,2020-01-29T02:56:15.000000,24,2483,2512,21
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_29_04_56_15.csv,2020-01-29T02:56:15.000000,24,3457,3486,11
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_29_04_56_15.csv,2020-01-29T02:56:15.000000,24,3678,3707,34
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_01_29_06_50_00.csv,2020-01-29T04:50:00.000000,24,207,236,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_01_05_58_14.csv,2020-02-01T03:58:14.000000,24,1007,1036,21
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_01_05_58_14.csv,2020-02-01T03:58:14.000000,24,2717,2746,40
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_01_05_58_23.csv,2020-02-01T03:58:23.000000,24,820,849,22
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_01_05_58_23.csv,2020-02-01T03:58:23.000000,24,1001,1030,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_01_05_58_23.csv,2020-02-01T03:58:23.000000,24,2707,2736,31
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_05_04_55_20.csv,2020-02-05T02:55:20.000000,25,1226,1255,32
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_09_06_04_15.csv,2020-02-09T04:04:15.000000,26,2767,2796,33
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_11_04_49_20.csv,2020-02-11T02:49:20.000000,26,2713,2742,31
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_11_04_49_20.csv,2020-02-11T02:49:20.000000,26,3937,3966,34
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_12_04_55_25.csv,2020-02-12T02:55:25.000000,26,3157,3186,7
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_12_04_55_25.csv,2020-02-12T02:55:25.000000,26,3311,3340,29
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_14_04_49_35.csv,2020-02-14T02:49:35.000000,26,2582,2611,22
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_16_05_17_26.csv,2020-02-16T03:17:26.000000,27,6291,6320,41
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_16_05_17_26.csv,2020-02-16T03:17:26.000000,27,13059,13088,31
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_18_04_49_49.csv,2020-02-18T02:49:49.000000,27,4759,4788,19
