id,gender,yob,numberOfRides,duration,rideFrequency
067060bc-010b-4f3a-a83f-06910cb626d9,M,1978,75,1020,0.07352941176470588
0682543d-0160-4958-b2da-6bb411716139,M,1965,257,1667,0.15416916616676665
068a26b7-5c77-498a-bf76-5e25629c86ad,M,1972,3543,2571,1.3780630105017504
068ae822-3269-459c-a3f3-a71b6aea3e12,F,1973,0,0,0.0
06961b44-d080-4aff-a3ee-557385b10adb,M,1970,589,1944,0.3029835390946502
069b28a9-6a90-4a3a-a264-df9848f0e5c2,M,1983,361,1159,0.3114754098360656
06b4cfdc-cb2d-48ce-bde1-041db83e43c8,M,1997,411,1354,0.30354505169867063
06b80a9d-ee2e-41ca-a88b-40e12bd7582d,F,1990,0,0,0.0
06bd6cb5-f9bd-42c6-8694-e3c23a1e66dc,M,1973,0,0,0.0
06e3e6b1-b811-4436-ae72-e7ab9e41b21d,M,1977,888,2728,0.3255131964809384
06e9c408-4cd3-4666-a585-bf3b22d7db38,M,2000,105,2114,0.04966887417218543
06f81197-504a-478b-a347-052d4df03044,F,1971,2013,2639,0.7627889352027283
06fe0fcd-0cee-444c-9da8-f430387c165b,M,2000,19,114,0.16666666666666666
0705b937-74cc-446b-84da-05a1d56266cc,M,1959,8,2,4.0
07105ea2-5c35-4a9c-9638-87bfc6915bc3,M,1978,400,3574,0.1119194180190263
071b291f-824c-47ab-947f-74f56a4255dc,M,1982,211,565,0.3734513274336283
07382a6a-c3cb-45e1-8b9b-fd13f9164ab5,M,1984,280,1418,0.19746121297602257
073a755c-4871-42e7-a82a-459b1ad80f57,M,1985,1059,2825,0.37486725663716813
0740e35a-7cec-47ef-9fae-a74adc7c9d2c,M,1989,148,272,0.5441176470588235
07476629-ae8d-478f-967b-67bff9d8f4fe,M,2000,419,620,0.6758064516129032
074f8205-ba78-4202-9cf7-25ac3b5d28b7,M,1976,339,659,0.5144157814871017
07510443-f1c0-44c3-8ff8-c8e7d45ffd5f,M,1964,489,1349,0.36249073387694586
07529948-4a9c-4c88-8eb8-4b55a75cbe1b,M,1989,462,1585,0.2914826498422713
0753a9b6-baf1-418c-81b0-0b789a402cd1,M,1983,16,53,0.3018867924528302
07590f7c-d8c9-4808-b46d-b3b4f94daa69,M,1988,12,117,0.10256410256410256
0766b3f8-57f0-4205-ba7e-a70d8099ac02,M,1973,975,2431,0.40106951871657753
07a4b9cd-99e2-4c2a-9e41-a6c1c274fab1,M,1972,19,39,0.48717948717948717
07a7e891-8394-4436-bce8-29978874f832,M,1975,0,0,0.0
07b47ffa-1058-408b-a658-338691246e6c,M,1978,69,89,0.7752808988764045
07bed04a-2dc3-40ff-8ad5-ab8899941d49,M,1992,247,416,0.59375
07d17323-1112-405d-82e7-071c263c436d,M,1992,518,1094,0.473491773308958
07f9a831-c338-4a0a-ac2c-d4b02c86c587,M,1978,890,1654,0.5380894800483675
080ee7a6-d88b-4c9a-85a1-414ed379e752,M,1989,8,36,0.2222222222222222
0812d5ee-0b2a-44a8-b3e1-b16854fcf1af,M,1955,606,2003,0.30254618072890666
08167a93-8b90-49dc-b22e-a58ac9c9a5bf,M,1971,620,1538,0.40312093628088425
0818ce38-0fff-40d8-a6c3-4bd6994bd893,M,1974,0,0,0.0
081b10aa-2f3c-476b-8c76-9789cb7589d2,M,2083,448,2525,0.17742574257425742
081e9bd4-fa24-47d1-ba20-ee2b30ca78f5,M,1973,110,890,0.12359550561797752
0826999b-90ce-4a64-b002-b2186e2644c3,M,1967,0,0,0.0
0845e82d-fa5f-487f-83f5-2fb00c6c0cc9,M,1980,338,559,0.6046511627906976
085119a7-cebb-4f0d-809a-7649cd630dea,M,1971,1242,1105,1.1239819004524887
0854ab2b-46b5-457b-94ff-d6191dd98eb0,M,1971,2,405,0.0049382716049382715
086927df-48a8-465c-b350-d90a86dce11a,M,1975,876,4290,0.2041958041958042
08706f69-50cd-4692-8417-07f550e3af5a,M,1966,243,386,0.6295336787564767
087f54fc-c383-4422-ab93-558c1b2ae6af,M,1981,139,806,0.17245657568238212
0880efb7-054a-4a2f-b9c6-ec64dfa62ad8,M,1971,556,1378,0.4034833091436865
0884c7d9-7c9d-46d3-b3e4-e54f2e5723a7,M,1997,1,0,0.0
08856859-c093-4445-9905-a6a6eaebc274,M,1968,102,328,0.31097560975609756
088c6d80-8707-4123-91b1-59980e99c3b7,M,2000,79,273,0.2893772893772894
089aaf8f-a54a-40bc-8637-6aef65b1b2eb,M,1974,122,365,0.33424657534246577
089f947b-42f1-47b1-8eb8-a657d9b01ecf,M,1948,63,2736,0.023026315789473683
08accf94-131c-42a5-befa-a56271560ae3,M,1971,24,41,0.5853658536585366
08bcd1ae-f588-4e53-96b4-d2c394fd9804,M,1970,31,68,0.45588235294117646
08c2603d-60c2-4d94-bfe0-4c76086e9651,M,1971,141,646,0.21826625386996903
08c88043-66ca-4108-92d7-a66c0bea023a,M,1957,916,1362,0.6725403817914831
08d6a74d-209d-4950-ab07-08f678ace554,M,1984,0,0,0.0
08dbe858-f429-4f7b-a7cc-940d049a111f,M,1976,111,397,0.2795969773299748
08ddcdc4-43d9-46c4-8a0c-90d1f9faa924,M,1956,0,0,0.0
08e0df73-4bb4-41fa-a3b3-56374c9bc0ad,M,1974,228,335,0.6805970149253732
08ec6f9f-0295-4a79-802e-9826650df2b7,M,1962,60,1945,0.030848329048843187
08fc3bf0-b548-475e-9e0d-3f4f47095031,M,1965,40,74,0.5405405405405406
09140c50-ff6b-46a1-aa00-ab69ba6d7790,M,1969,181,808,0.22400990099009901
091e1868-d0e8-461b-b869-7ed8201a78e7,M,1953,566,978,0.5787321063394683
091ff782-d063-4411-9f40-9b679eaf44da,M,1988,132,246,0.5365853658536586
092a2a7c-bb77-48dc-a5f9-bd408e3f2b80,M,2002,742,840,0.8833333333333333
092dd530-b6c7-4f3c-885f-f6af1d331cfa,M,1985,627,1021,0.614103819784525
09407f03-8a99-499c-9830-5c657b2dd383,F,1995,121,240,0.5041666666666667
09423884-dfb0-44ce-8ad2-2e86aa926a5e,M,1976,56,131,0.42748091603053434
094243e3-c5cd-426c-81ee-5c7bc7f8b4b0,M,1981,43,52,0.8269230769230769
09429d73-4f0b-4ba6-9617-bab144e18d61,M,1941,39,202,0.19306930693069307
0944421f-c6da-47ed-a289-9e693b63375b,M,1977,19,34,0.5588235294117647
0948ae4c-abb1-4524-88fd-2fb7f0be6434,M,1953,148,1073,0.13793103448275862
094eff7f-0c47-4b85-b056-73498d74cbfc,F,1967,49,134,0.3656716417910448
09504cba-b5b4-4b28-ac25-196b1b2d4246,M,1991,0,0,0.0
095b8287-9c56-49a2-96ee-275982048c65,M,2074,835,1399,0.5968548963545389
09648196-6839-4ce8-8fec-3d151f5eac36,M,2000,46,1477,0.03114421123899797
09684437-c319-4369-ace4-d0335d9c2b27,M,1973,220,516,0.4263565891472868
097db339-221d-460c-a351-f1e809808870,M,2067,1393,3884,0.3586508753861998
097f7381-8151-49d5-b4c7-a19193ef93ce,M,1976,166,450,0.3688888888888889
09957393-9749-4f80-b030-3371a5888a7d,M,1977,0,0,0.0
0998f7ed-66f1-4f14-a6eb-672dc9249dcf,M,1968,105,77,1.3636363636363635
099c2300-5d3f-4841-b843-977c94ac91ab,M,1973,415,712,0.5828651685393258
09a254e4-baaf-4652-8962-8a72d55f3f50,M,1979,49,649,0.07550077041602465
09a9a280-347c-4ad4-88c0-67101b9e3727,M,1970,0,0,0.0
09c8e31d-26bd-45e4-97f3-a6b1efa23747,M,1949,0,0,0.0
09ceff71-4de4-4d8c-80e7-40b10e99e067,F,1979,0,0,0.0
09d9fc91-5a24-409d-ba41-5ecb809ad65f,M,1980,1440,2094,0.6876790830945558
09e174f5-f4a8-4694-b8f4-c2ccf5d47094,M,1998,160,196,0.8163265306122449
09e3bd7e-fd05-428c-abdf-7fe7fb9ec060,M,1974,0,0,0.0
09e43621-f260-4f60-8662-d08ead7f225a,M,1978,229,286,0.8006993006993007
09e77b91-b1a4-43a3-b533-70bac6e42535,M,1983,596,731,0.8153214774281806
09ea37f9-97bd-4be6-831b-fd9b18efaae1,M,1986,10,19,0.5263157894736842
09fa1819-7870-46b9-a5ad-0995099ba70f,M,1970,73,109,0.6697247706422018
0a038767-1c42-40f3-808c-23f48ca293b2,M,1968,1305,2142,0.6092436974789915
0a063519-6876-49ef-aaa9-486ea5fc7440,M,2002,120,151,0.7947019867549668
